Id,uid,company_name,company_description,company_industry,company_address,company_website
888,http://www.fccsingapore.com/membership/directory/account/888,AGILITY RESEARCH AND STRATEGY PTE LTD,"
Agility Research & Strategy is a globally ranked Top 10 research and consulting firm for premium &...
",ABC,"
                    300, Beach Road 
#14-07 The Concourse
                    SINGAPORE 
                    199555
",http://www.agility-research.com
18,http://www.fccsingapore.com/membership/directory/account/18,AGS FOUR WINDS INTERNATIONAL RELOCATIONS PTE LTD,"
AGS Group is one of the leading relocation service providers in the world. AGS has been providing...
",ABC,"
                    31 Jurong Port Road 
#06-10/11Jurong Logistics Hub
                    SINGAPORE 
                    619115
",http://www.agsfourwinds.com
1352,http://www.fccsingapore.com/membership/directory/account/1352,AIDHA,"
Aidha is an award–winning charity with Institution of Public Character status dedicated to the...
",ABC,"
                    748A North Bridge Road
                    SINGAPORE 
                    198716
",http://www.aidha.org
1223,http://www.fccsingapore.com/membership/directory/account/1223,AIR COST CONTROL PTE LTD,"
Electrical and interconnect wiring component specialist, Air Cost Control stocks Airbus, Boeing,...
",ABC,"
                    690 West Camp Road 
#06-03 JTC Aviation Two @ Seletar Aerospace Park
                    SINGAPORE 
                    797523
",http://www.aircostcontrol.com
19,http://www.fccsingapore.com/membership/directory/account/19,AIR FRANCE KLM,"
Air France, a global airline of French inspiration, with high standards and a caring attitude,...
",ABC,"
                    456 Alexandra Road
#10-02 Fragrance Empire Building
                    SINGAPORE 
                    119962
",http://www.airfrance.sg
20,http://www.fccsingapore.com/membership/directory/account/20,AIR LIQUIDE SINGAPORE PRIVATE LIMITED (ALSG),"
Air Liquide in Singapore operates in 23 locations around Singapore, consisting of 6 subsidiaries...
",ABC,"
                    438B Alexandra Road, 
#07-01, Block B, Alexandra Technopark
                    SINGAPORE 
                    119968
",http://www.sg.airliquide.com
159,http://www.fccsingapore.com/membership/directory/account/159,AIRBUS SINGAPORE PTE LTD,"
Airbus is a global leader in aeronautics, space and related services. In 2016, the company...
",ABC,"
                    110 Seletar Aerospace View
                    SINGAPORE 
                    797562
",http://www.airbus.com
1595,http://www.fccsingapore.com/membership/directory/account/1595,AKAR DE NISSIM,"
AKAR de NISSIM is a luxury French brand of furnitures and home accessories.  The vision of its...
",ABC,"
                    62 Syed Alwi Road
#01-00
                    SINGAPORE 
                    207641
",http://akardenissim.com
726,http://www.fccsingapore.com/membership/directory/account/726,AKROBAT PTE LTD,"
WHO WE ARE
Akrobat Pte Ltd was founded in Singapore in 2005 and the company has grown to become...
",ABC,"
                    53 Ubi Avenue 1 
#05-13 Paya Ubi Industrial Park
                    SINGAPORE 
                    408934
",http://www.akrobat.com.sg
933,http://www.fccsingapore.com/membership/directory/account/933,AKTEOS ASIA,"
Intercultural management consultancy, business training and coaching for companies and executives...
",ABC,"
                    150 Cecil Street 
#15-01
                    SINGAPORE 
                    069543
",http://www.akteos.sg
1222,http://www.fccsingapore.com/membership/directory/account/1222,ALAM BARU PTE LTD,"
Alam Baru Pte Ltd, Exclusive representative of D-Vine in Singapore and South East Asia.

D-Vine...
",ABC,"
                    30 Jalan Lakum
                    SINGAPORE 
                    808846
",www.dvine.com.sg
1433,http://www.fccsingapore.com/membership/directory/account/1433,ALCATEL-LUCENT ENTERPRISE (ALE),"
Alcatel-Lucent Enterprise (ALE) is a worldwide provider of customized connected networking,...
",ABC,"
                    750E Chai Chee Road
Viva Business Park
#05-01/02
                    SINGAPORE 
                    469005
",http://enterprise.all.alcatel-lucent.com/
1399,http://www.fccsingapore.com/membership/directory/account/1399,ALCHEME SKINCARE PTE LTD,"
Alcheme Skincare offers bespoke skincare products, formulated for each customer with the finest...
",ABC,"
                    161 Tembeling Road
                    SINGAPORE 
                    423670
",https://alcheme.one
1236,http://www.fccsingapore.com/membership/directory/account/1236,ALCIMED PTE LTD,"
Alcimed is a French consulting firm in innovation and new business with 8 offices in seven...
",ABC,"
                    The Hive, 59 New Bridge Road
                    SINGAPORE 
                    059405
",http://www.alcimed.com/en
1624,http://www.fccsingapore.com/membership/directory/account/1624,ALFATECH,"
Based since 2007 in Singapore, AlfaTech provides all across Asia an end-to-end design, advisory,...
",ABC,"
                    123 Penang Road 
#04-12/13 The Regency House Singapore
                    SINGAPORE 
                    238465
",http://www.atce.com.sg
659,http://www.fccsingapore.com/membership/directory/account/659,ALLIANCE FRANÇAISE DE SINGAPOUR,"
Alliance Française de Singapour was founded in 1949. It is a local non-profit educational and...
",ABC,"
                    French Language and Cultural Centre of Singapore  
1 Sarkies Road
                    SINGAPORE 
                    258130
",http://www.alliancefrancaise.org.sg
1591,http://www.fccsingapore.com/membership/directory/account/1591,ALLIED MOVING SERVICES (S) PTE LTD,"
As established removalists, we’ve developed a comprehensive network of moving professionals who...
",ABC,"
                    10 Hoe Chiang Road 
#06-01 Keppel Towers
                    SINGAPORE 
                    089315
",http://www.alliedpickfords.com
1245,http://www.fccsingapore.com/membership/directory/account/1245,ALPADIS (SINGAPORE) PTE LTD,"
Alpadis Group is an independent, privately-owned fiduciary Swiss based group with offices in...
",ABC,"
                    22B Duxton Hill
                    SINGAPORE 
                    089605
",http://www.alpadis-group.com
869,http://www.fccsingapore.com/membership/directory/account/869,ALPHANOVA PTE LTD,"
AlphaNova Pte Ltd serves companies looking for a reliable partner to grow their existing and future...
",ABC,"
                    334C King George's Avenue
                    SINGAPORE 
                    208571
",http://www.alphanova.com.sg
31,http://www.fccsingapore.com/membership/directory/account/31,ALSTOM,"
As a promoter of sustainable mobility, Alstom develops and markets systems, equipment and services...
",ABC,"
                    20 Pasir Panjang (20 West) 
#06-27/28 Mapletree Business City
                    SINGAPORE 
                    117439
",http://www.alstom.com
1566,http://www.fccsingapore.com/membership/directory/account/1566,ALTERNATIVE SELECTION PTE LTD,"
Alternative Selection is the first wholesaler and retailer of alternative gourmet, organic,...
",ABC,"
                    100G Pasir Panjang Rd, #06-22/23, Interlocal Centre,
                    Singapore 
                    118523
",http://www.alternative.sg/
719,http://www.fccsingapore.com/membership/directory/account/719,ALTIOS SOUTH EAST ASIA PTE LTD,"
Founded in 1991, Altios International provides global expansion and cross-border investment...
",ABC,"
                    51 Goldhill Plaza 
# 21-02
                    SINGAPORE 
                    308900
",https://altios.com/
1105,http://www.fccsingapore.com/membership/directory/account/1105,AMADEUS GDS SINGAPORE PTE LTD,"
 Amadeus provides the technology which keeps the travel sector moving - from initial search to...
",ABC,"
                    1 Wallich Street
#27-01, Guoco Tower
                    SINGAPORE 
                    078881
",http://amadeus.com
1506,http://www.fccsingapore.com/membership/directory/account/1506,AMAZON ASIA-PACIFIC HOLDING PRIVATE LIMITED,"
E-commerce. cloud computing. publishing....
",ABC,"
                    23 Church StreetCapital Square 
#10-01
                    SINGAPORE 
                    049481
",http://www.amazon.com
1612,http://www.fccsingapore.com/membership/directory/account/1612,AME ASIA PTE LTD,"
AME is a French agency specialized in bespoke products.
For more than 15 years, AME develops...
",ABC,"
                    391B Orchard Road, Ngee Ann City, Level 22
                    SINGAPORE 
                    238874
",http://www.a-m-e.eu
